BSN;Name;PLZ;Adresse;City;Latitude;Longitude;;;;;;;;;;;;;
09P12;Mosaik-Grundschule;12439;Adlergestell 133;Berlin;52.44474;13.5285;;;;;;;;;;;;;
07Y07;Eckener-Gymnasium;12105;Kaiserstr. 17-21;Berlin;52.44511;13.38048;;;;;;;;;;;;;
09Y05;Alexander-von-Humboldt-Gymnasium;12555;Oberspreestr. 173;Berlin;52.44521;13.5672;;;;;;;;;;;;;
06G07;Zinnowwald-Grundschule;14163;Wilskistr. 78;Berlin;52.44544;13.24668;;;;;;;;;;;;;
08Y03;Albert-Einstein-Gymnasium;12359;Parchimer Allee 109;Berlin;52.4455;13.44257;;;;;;;;;;;;;
07P13;Deutsch Skandinavische Gemeinschaftsschule;12105;Machonstr. 54;Berlin;52.44602;13.38213;;;;;;;;;;;;;
09A07;Flatow-Oberschule;12559;Birkenstr. 11;Berlin;52.4466;13.60236;;;;;;;;;;;;;
06P07;Parzival-Schule;14163;Quermatenweg 6;Berlin;52.44677;13.23381;;;;;;;;;;;;;
07K07;Johanna-Eck-Schule (Integrierte Sekundarschule);12105;Ringstr. 103-106;Berlin;52.44685;13.3641;;;;;;;;;;;;;
09G06;Melli-Beese-Schule (Grundschule);12487;Engelhardstr. 18;Berlin;52.44698;13.51067;;;;;;;;;;;;;
07G25;Mascha-Kaléko-Grundschule;12105;Königstr. 32;Berlin;52.44719;13.38394;;;;;;;;;;;;;
09S04;Ahorn-Schule;12587;Peter-Hille-Str. 118;Berlin;52.44792;13.61977;;;;;;;;;;;;;
06G31;Grundschule an der Bäke;12203;Haydnstr. 15;Berlin;52.44797;13.31899;;;;;;;;;;;;;
08K11;Alfred-Nobel-Schule;12347;Britzer Damm 164;Berlin;52.44809;13.43477;;;;;;;;;;;;;
09P16;KreativitätsGrundschule Berlin Treptow;12439;Hartriegelstr. 77;Berlin;52.44813;13.53125;;;;;;;;;;;;;
09Y10;Gebrüder-Montgolfier-Gymnasium;12487;Ellernweg 20-22;Berlin;52.44832;13.50363;;;;;;;;;;;;;
08K06;Fritz-Karsen-Schule (Gemeinschaftsschule);12359;Onkel-Bräsig-Str. 76-78;Berlin;52.44847;13.44401;;;;;;;;;;;;;
07G23;Schätzelberg-Grundschule;12109;Wolfsburger Weg 13-19;Berlin;52.44868;13.4005;;;;;;;;;;;;;
